Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
Akira,4619.0,1988,Neo-Tokyo is about to E.X.P.L.O.D.E.,"Animation, Science Fiction, Action",Katsuhiro Otomo,/neZ0ykEsPqxamsX6o5QNUFILQrz.jpg,"""Neo-Tokyo is about to E.X.P.L.O.D.E.""","army, street gang, saving the world, total destruction, experiment, general, megacity, atomic bomb, stadium, underground, mutation, dystopia, cyberpunk, motorcycle gang, adult animation, psychotronic, anime, 2010s"
Star Trek: The Motion Picture,1863.0,1979,The human adventure is just beginning.,"Science Fiction, Adventure, Mystery",Robert Wise,/wfiAfNwH6CMKxz4vRaW8CPTabtk.jpg,"""The human adventure is just beginning.""","spacecraft, man vs machine, artificial intelligence (a.i.), self sacrifice, teleportation, san francisco, california, starship, space opera, reunited friends, outer space"
Lost in Translation,7825.0,2003,Everyone wants to be found.,"Drama, Romance, Comedy",Sofia Coppola,/3jCLmYDIIiSMPujbwygNpqdpM8N.jpg,"""Everyone wants to be found.""","hotel room, adultery, japan, unsociability, upper class, pop star, age difference, photographer, commercial, karaoke, homesickness, culture clash, jet lag, midlife crisis, loneliness, tokyo, japan, unlikely friendship, aftercreditsstinger, woman director"
Star Trek II: The Wrath of Khan,2058.0,1982,At the end of the universe lies the beginning of vengeance.,"Action, Adventure, Science Fiction, Thriller",Nicholas Meyer,/uPyLsKl8Z0LOoxeaFXsY5MxhR5s.jpg,"""At the end of the universe lies the beginning of vengeance.""","spacecraft, life and death, genetics, asteroid, self sacrifice, teleportation, genesis, midlife crisis, terraforming, simulator, cadet, radiation, uss reliant, starship, revenge, weapon of mass destruction, space opera, mentor protégé relationship, outer space"
The Dark Knight,35052.0,2008,Welcome to a world without rules.,"Action, Crime, Thriller",Christopher Nolan,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"""Welcome to a world without rules.""","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir"
Ocean's Eleven,12265.0,2001,Are you in or out?,"Thriller, Crime",Steven Soderbergh,/hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,"""Are you in or out?""","new year's eve, robbery, casino, italian american, gambling, perfect crime, rat pack, thief, hoodlum, duringcreditsstinger, technicolor"
Edward Scissorhands,13529.0,1990,Innocence is what he knows. Beauty is what she sees.,"Fantasy, Drama, Romance",Tim Burton,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,"""Innocence is what he knows. Beauty is what she sees.""","underdog, small town, unsociability, inventor, hairdresser, isolation, scissors, burglar, love at first sight, fairy tale, sadness, symbolism, castle, alone, flashback, tragic love, snow, gothic, told in flashback, christmas horror, christmas, artificial, hair salon, signs & wonders, love story, goth, frankenstein, topiary"
Ocean's Twelve,7698.0,2004,Twelve is the new eleven.,"Thriller, Crime",Steven Soderbergh,/pE5anFf7nf6ah7V3VRezQ1KSovi.jpg,"""Twelve is the new eleven.""","rome, italy, sequel, heist, fabergé egg, golden egg, goon"
Breakfast at Tiffany's,4403.0,1961,"Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!","Comedy, Romance, Drama",Blake Edwards,/79xm4gXw4l7A5D0XukUOJRocFYQ.jpg,"""Audrey Hepburn plays that daring, darling Holly Golightly to a new high in entertainment delight!""","new york city, love of one's life, broken engagement, cat, store window, cigarette, free spirit, writer, millionaire, jewelry store, gold digger, older woman younger man relationship, kept man, rich woman, best friends"
Back to the Future Part II,13613.0,1989,Getting back was only the beginning.,"Adventure, Comedy, Science Fiction",Robert Zemeckis,/YBawEsTkUZBDajKbd5LiHkmMGf.jpg,"""Getting back was only the beginning.""","flying car, skateboarding, car race, lightning, guitar, inventor, time travel, diner, car crash, sequel, alternate history, thunderstorm, tunnel, high school dance, hoverboard, 2010s, hilarious"
K-PAX,2626.0,2001,Change the way you look at the world.,"Science Fiction, Drama, Mystery",Iain Softley,/tafXZX0I6rso7EyoEzfygfTqxq6.jpg,"""Change the way you look at the world.""","dream, robbery, investigation, hypnosis, alien, murder, hospital, planet, patient, medication, psychiatrist, claim, mental"
Predator 2,3662.0,1990,Silent. Invisible. Invincible. He’s in town with a few days to kill.,"Science Fiction, Action, Thriller",Stephen Hopkins,/83X4VwY9sdSJykskmsplIVG0a4h.jpg,"""Silent. Invisible. Invincible. He’s in town with a few days to kill.""","predator, war on drugs, extraterrestrial technology, alien, los angeles, california, creature, alien invasion, invisible"
28 Days Later,8143.0,2002,The days are numbered.,"Horror, Thriller, Science Fiction",Danny Boyle,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,"""The days are numbered.""","daughter, taxi, london, england, submachine gun, gas station, infection, outbreak, survival, laboratory, hospital, zombie, brutality, church, rage, epidemic, military, virus, waking from coma, animal research, brutal violence"
Saw,9822.0,2004,How much blood would you shed to stay alive?,"Horror, Mystery, Crime",James Wan,/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,"""How much blood would you shed to stay alive?""","kidnapping, paralysis, hospital, torture, short film"
Minority Report,9337.0,2002,Everybody runs.,"Science Fiction, Action, Thriller",Steven Spielberg,/qtgFcnwh9dAFLocsDk2ySDVS8UF.jpg,"""Everybody runs.""","washington dc, usa, police chief, precognition, hologram, futuristic, murder, conspiracy, police chase, drugs, home video, based on short story, ex-husband ex-wife relationship, mentor protégé relationship, tech noir, stasis, prevention, missing son, future noir, loss of child, surveillance state, psychic vision, conspiracy thriller, 2050s"
Jackie Brown,6755.0,1997,"This Christmas, Santa's got a brand new bag.","Crime, Drama, Thriller",Quentin Tarantino,/rOUx7qg4KmEh1juEDwqzbDSL1Nr.jpg,"""This Christmas, Santa's got a brand new bag.""","airport, based on novel or book, police, arms deal, stewardess, heist, money, los angeles, california, drugs, ex-con, flight attendant, neo-noir"
A Clockwork Orange,13548.0,1971,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.","Science Fiction, Crime",Stanley Kubrick,/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,"""Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.""","london, england, robbery, street gang, great britain, based on novel or book, nihilism, parent child relationship, society, sexuality, social worker, psychopath, dystopia, dark comedy, satire, electronic music score, juvenile delinquent, sex crime, futuristic society"
Lucky Number Slevin,4261.0,2006,Wrong time. Wrong place. Wrong number.,"Drama, Thriller, Crime, Mystery",Paul McGuigan,/x21s3p5wPww534nYj1cWakTcqz4.jpg,"""Wrong time. Wrong place. Wrong number.""","sniper, assassin, assassination, gambling debt, identity, boss, gangster, mistake in person, fbi, murder, sniper rifle, horse racing, gambler, hoodlum"
Sin City,8591.0,2005,Walk down the right back alley in Sin City and you can find anything...,"Crime, Thriller","Frank Miller, Robert Rodriguez",/i66G50wATMmPrvpP95f0XP6ZdVS.jpg,"""Walk down the right back alley in Sin City and you can find anything...""","dystopia, based on comic, anthology, held captive, based on graphic novel, mysterious killer, doing the right thing, silhouette, neo-noir"
Sin City: A Dame to Kill For,4046.0,2014,There is no justice without sin.,"Action, Crime, Thriller","Frank Miller, Robert Rodriguez",/50kALxDX4mmzIRljbNbPY0u4cie.jpg,"""There is no justice without sin.""","detective, dystopia, dominatrix, murder, twins, based on graphic novel, neo-noir"
The Name of the Rose,3223.0,1986,"Who, in the name of God, is getting away with murder?","Drama, Thriller, Mystery",Jean-Jacques Annaud,/d6dlbTBb3N7nXDz7tQslDJs2jgv.jpg,"""Who, in the name of God, is getting away with murder?""","based on novel or book, library, christianity, inquisition, monk, poison, secret passage, religion, labyrinth, rich, middle ages (476-1453), persecution, medieval, franciscan, burned at the stake, poor, murder mystery, grotesque, theological debate, 14th century, master disciple relationship, umberto eco"
Amélie,12144.0,2001,She’ll change your life.,"Comedy, Romance",Jean-Pierre Jeunet,/nSxDa3M9aMvGVLoItzWTepQ5h5d.jpg,"""She’ll change your life.""","daughter, paris, france, love triangle, photography, ghost train, sex shop, shyness, journey around the world, postcard, romantic comedy, hypochondriac, romance, cafe, kindness, magic realism, child's point of view, montmartre, paris, neighbor neighbor relationship, father daughter relationship, happy ending, childhood memory, euphoric"
Back to the Future Part III,11251.0,1990,They've saved the best trip for last... But this time they may have gone too far.,"Adventure, Comedy, Science Fiction",Robert Zemeckis,/crzoVQnMzIrRfHtQw0tLBirNfVg.jpg,"""They've saved the best trip for last... But this time they may have gone too far.""","california, saloon, sports car, inventor, horseback riding, indian territory, locomotive, time travel, native american, mad scientist, sequel, outlaw, shootout, gunfight, train, wild west, cavalry, 1950s, hoverboard, playful, relaxed, sarcastic"
Braveheart,10829.0,1995,"Every man dies, not every man really lives.","Action, Drama, History, War",Mel Gibson,/or1gBugydmjToAEq7OZY0owwFk.jpg,"""Every man dies, not every man really lives.""","勇敢的心, braveheart"
Star Trek: First Contact,1897.0,1996,Resistance is futile.,"Science Fiction, Action, Adventure, Thriller",Jonathan Frakes,/iqhHe893Vcf07jNkNQ31tu85dKG.jpg,"""Resistance is futile.""","spacecraft, teleportation, inventor, starship, resistance, borg, enterprise-e, cyborg, montana, repayment, obsession, time travel, speed of light, business start-up, space opera, first contact, outer space, traumatized man"
Mean Streets,2232.0,1973,Go to church on Sunday. Go to Hell on Monday.,"Drama, Crime",Martin Scorsese,/9msfwOeGc9uL1iRRTBdEf15XonC.jpg,"""Go to church on Sunday. Go to Hell on Monday.""","secret love, gangster, protection money, epilepsy, redemption, money, little italy, manhattan, new york city"
Hotel Rwanda,3059.0,2004,"When the world closed its eyes, he opened his arms.","Drama, History, War",Terry George,/p3pHw85UMZPegfMZBA6dZ06yarm.jpg,"""When the world closed its eyes, he opened his arms.""","rwanda, refugee, refugee camp, militia, rwandan genocide, murder, slaughter, dead body, atrocity, african, cruelty, genocide, united nations, death"
Dead Poets Society,12229.0,1989,He was their inspiration. He made their lives extraordinary.,Drama,Peter Weir,/l5NbiHKUmahlAT3Q1ig8Tyl9xrc.jpg,"""He was their inspiration. He made their lives extraordinary.""","individual, friendship, philosophy, poetry, literature, professor, coming of age, teacher, school play, vermont, schoolteacher, preparatory school, 1950s, teenager"
North by Northwest,4383.0,1959,"It's a deadly game of ""tag"" and Cary Grant is ""it""!","Thriller, Adventure",Alfred Hitchcock,/kNOFPQrel9YFCVzI0DF8FnCEpCw.jpg,"""It's a deadly game of ""tag"" and Cary Grant is ""it""!""","new york city, assassination, undercover agent, espionage, spy, mistaken identity, deception, romance, fugitive, on the run, advertising, framed, on the road, government agent, road movie, framed for murder, trains, cold war era, adventure, man on the run, couple on the run, moral relativism"
Saw III,4828.0,2006,Suffering? You haven't seen anything yet...,"Horror, Thriller, Crime",Darren Lynn Bousman,/4iO9n24Rb10peXV0JH2EldIOrAp.jpg,"""Suffering? You haven't seen anything yet...""","sadism, brain tumor, suffocation, torture, survival horror, death match, mutilation, mind game, death game, harsh"
Saw II,5727.0,2005,Oh yes... There will be blood.,Horror,Darren Lynn Bousman,/gTnaTysN8HsvVQqTRUh8m35mmUA.jpg,"""Oh yes... There will be blood.""","sadism, riddle, serial killer, torture, survival horror, death match, macabre, mind game, death game"
Indiana Jones and the Kingdom of the Crystal Skull,8819.0,2008,The adventure continues...,"Adventure, Action",Steven Spielberg,/56As6XEM1flWvprX4LgkPl8ii4K.jpg,"""The adventure continues...""","treasure, mexico city, mexico, saving the world, whip, leather jacket, riddle, maya civilization, peru, machinegun, treasure hunt, alien, nuclear explosion, refrigerator, archaeologist, adventurer, area 51, archeology, 1950s, father son relationship"
The Terminator,14216.0,1984,Your future is in its hands.,"Action, Thriller, Science Fiction",James Cameron,/qvktm0BHcnmDpul4Hz01GIazWPr.jpg,"""Your future is in its hands.""","artificial intelligence (a.i.), saving the world, laser gun, cyborg, killer robot, shotgun, rebel, dystopia, villain, time travel, slasher, los angeles, california, electronic music score, urban setting, future war, savior, tech noir, aggressive, time paradox, action hero, griffith observatory, good versus evil, terminator"
Volver,1855.0,2006,Return.,"Comedy, Drama, Romance",Pedro Almodóvar,/m1ZUDGTFtVGE3zjTvF8OiQ9um5e.jpg,"""Return.""","child abuse, fire, rape, sexual abuse, madrid, spain, superstition, return, solidarity, village, death, ghost, abusive father"
Rebecca,1916.0,1940,"""Last night I dreamt I went to Manderley again...""","Mystery, Romance, Thriller",Alfred Hitchcock,/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg,"""""Last night I dreamt I went to Manderley again...""""","based on novel or book, age difference, obsession, monte carlo, bride, cornwall, england, love, film noir, rural area, devotion, housekeeper, death, estate, costume party, age-gap relationship"
Stand by Me,6309.0,1986,"""If I could only have one food to eat for the rest of my life?"" ""That's easy. Pez. Cherry flavor Pez. No question about it.""","Crime, Drama",Rob Reiner,/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"""""If I could only have one food to eat for the rest of my life?"" ""That's easy. Pez. Cherry flavor Pez. No question about it.""""","friendship, based on novel or book, leech, bullying, road trip, oregon, usa, coming of age, railroad track, story within the story, flipping coin, campfire story, pie eating, told in flashback, child, 1950s, boys, coin toss"
